기간시작,기간종료,분석축,캠페인유형,구분,지출원,노출,링크클릭,랜딩뷰,AI시세조회,견적등록,CTR,랜딩뷰당시세조회율,시세조회CPA,견적등록CPA,데이터출처
2026-07-15,2026-07-29,소재별,트래픽,에르메스버킨 시세 · AI시세조회 랜딩,213388,40665,2676,2383,2,0,0.0663,0.0008,106694,,메타 Marketing API
2026-07-15,2026-07-29,소재별,트래픽,샤넬수익률 · AI시세조회 랜딩,2335,490,29,25,0,0,0.0592,0.0000,,,메타 Marketing API
2026-07-15,2026-07-29,소재별,전환최적화,에르메스버킨 시세 · 전환최적화,385660,22919,779,724,31,3,0.0440,0.0428,12441,128553,메타 Marketing API
2026-07-15,2026-07-29,소재별,전환최적화,샤넬수익률 · 전환최적화,5112,442,12,13,5,2,0.0362,0.3846,1022,2556,메타 Marketing API
2026-07-15,2026-07-29,캠페인유형별,트래픽,트래픽 캠페인 합계,215723,41155,2705,2408,2,0,0.0657,0.0008,107862,,메타 Marketing API
2026-07-15,2026-07-29,캠페인유형별,전환최적화,전환최적화 캠페인 합계,390772,23361,791,737,36,5,0.0339,0.0488,10855,78154,메타 Marketing API
2026-07-15,2026-07-29,캠페인유형별,전체,전체 광고 합계,606495,64516,3496,3145,38,5,0.0542,0.0121,15960,121299,메타 Marketing API
2026-07-20,2026-07-30,연령성별,전환최적화,여성 35-44,117698,,,,14,4,,,8407,29425,메타 breakdown 지출역산
2026-07-20,2026-07-30,연령성별,전환최적화,남성 45-54,38724,,,,6,0,,,6454,,메타 breakdown 지출역산
2026-07-20,2026-07-30,연령성별,전환최적화,남성 25-34,53592,,,,2,0,,,26796,,메타 breakdown 지출역산
2026-07-20,2026-07-30,연령성별,전환최적화,그 외 전 세그먼트,180758,,,,14,1,,,12911,180758,메타 breakdown 지출역산
2026-07-01,2026-07-31,오가닉대조,오가닉,인스타 오가닉 프로필링크,0,,,127,43,28,,0.3386,0,0,GA4
2026-07-01,2026-07-31,오가닉대조,오가닉,네이버 모바일 검색,0,,,53,18,8,,0.3396,0,0,GA4
2026-07-01,2026-07-31,오가닉대조,오가닉,구글 오가닉,0,,,29,5,3,,0.1724,0,0,GA4
2026-07-21,2026-07-31,클린윈도우,전환최적화,ig / paid,,,,961,21,5,,0.0219,,,GA4
2026-07-21,2026-07-31,클린윈도우,오가닉,인스타 오가닉 프로필링크,0,,,56,25,15,,0.4464,0,0,GA4
2026-07-21,2026-07-31,클린윈도우,오가닉,네이버 모바일 검색,0,,,8,3,0,,0.3750,0,0,GA4
