분석축,구분,시간대구간,건수,비중,비고
시간대,0시,야간,5,0.0345,AI시세조회 이벤트 7월
시간대,1시,야간,2,0.0138,AI시세조회 이벤트 7월
시간대,2시,야간,1,0.0069,AI시세조회 이벤트 7월
시간대,3시,새벽,2,0.0138,AI시세조회 이벤트 7월
시간대,4시,새벽,0,0.0000,AI시세조회 이벤트 7월
시간대,5시,새벽,1,0.0069,AI시세조회 이벤트 7월
시간대,6시,오전,2,0.0138,AI시세조회 이벤트 7월
시간대,7시,오전,2,0.0138,AI시세조회 이벤트 7월
시간대,8시,오전,4,0.0276,AI시세조회 이벤트 7월
시간대,9시,오전,2,0.0138,AI시세조회 이벤트 7월
시간대,10시,오전,6,0.0414,AI시세조회 이벤트 7월
시간대,11시,점심오후,10,0.0690,AI시세조회 이벤트 7월
시간대,12시,점심오후,12,0.0828,AI시세조회 이벤트 7월
시간대,13시,점심오후,15,0.1034,AI시세조회 이벤트 7월 피크2위
시간대,14시,점심오후,12,0.0828,AI시세조회 이벤트 7월
시간대,15시,점심오후,8,0.0552,AI시세조회 이벤트 7월
시간대,16시,오후,4,0.0276,AI시세조회 이벤트 7월
시간대,17시,오후,6,0.0414,AI시세조회 이벤트 7월
시간대,18시,오후,5,0.0345,AI시세조회 이벤트 7월
시간대,19시,오후,5,0.0345,AI시세조회 이벤트 7월
시간대,20시,야간,7,0.0483,AI시세조회 이벤트 7월
시간대,21시,야간,16,0.1103,AI시세조회 이벤트 7월 피크1위
시간대,22시,야간,11,0.0759,AI시세조회 이벤트 7월
시간대,23시,야간,7,0.0483,AI시세조회 이벤트 7월
담보신청카테고리,가방,,47,0.5700,어드민 외부실수요 83건 중앙값 240만원
담보신청카테고리,시계,,15,0.1800,어드민 외부실수요 83건 중앙값 400만원
담보신청카테고리,주얼리,,9,0.1100,어드민 외부실수요 83건
담보신청카테고리,기타,,12,0.1400,어드민 외부실수요 83건
담보신청브랜드,샤넬,,14,,어드민 외부실수요 브랜드 1위
담보신청브랜드,루이비통,,7,,어드민 외부실수요
담보신청브랜드,롤렉스,,7,,어드민 외부실수요
담보신청브랜드,까르띠에,,6,,어드민 외부실수요
담보신청브랜드,불가리,,6,,어드민 외부실수요
담보신청브랜드,에르메스,,5,,어드민 외부실수요
담보크로스오버,AI감정신청,,12,0.1212,어드민 유입분석 7월 loan 방문 99명 대비
담보크로스오버,상품등록전환,,4,0.3333,어드민 유입분석 7월 감정 12건 대비
담보랜딩퍼널,홈 방문,,177,1.0000,loan 6~7월
담보랜딩퍼널,신청폼 진입,,114,0.6441,loan 6~7월
담보랜딩퍼널,제출 추정,,24,0.1356,loan 6~7월 apply/loading 도달
