날짜,채널,채널그룹,사용자,세션,참여율,평균체류초,랜딩수정후
2026-06-15,전체,전체,208,219,0.4977,85.16,N
2026-06-16,전체,전체,250,269,0.5204,95.31,N
2026-06-17,전체,전체,240,264,0.4015,134.05,N
2026-06-18,전체,전체,198,221,0.4299,90.82,N
2026-06-19,전체,전체,527,539,0.1317,19.80,N
2026-06-20,전체,전체,640,643,0.0731,3.67,N
2026-06-21,전체,전체,715,720,0.0806,49.80,N
2026-06-22,전체,전체,684,717,0.1102,49.61,N
2026-06-23,전체,전체,607,616,0.0942,33.21,N
2026-06-24,전체,전체,632,648,0.1296,40.53,N
2026-06-25,전체,전체,664,674,0.0831,23.81,N
2026-06-26,전체,전체,683,687,0.0684,11.92,N
2026-06-27,전체,전체,898,907,0.0893,12.19,N
2026-06-28,전체,전체,903,941,0.1180,36.48,N
2026-06-29,전체,전체,741,772,0.1179,41.45,N
2026-06-30,전체,전체,955,973,0.0740,18.97,N
2026-07-01,전체,전체,930,949,0.0885,19.37,N
2026-07-02,전체,전체,787,808,0.0817,31.80,N
2026-07-03,전체,전체,322,326,0.0920,13.96,N
2026-07-04,전체,전체,507,512,0.0684,8.11,N
2026-07-05,전체,전체,750,761,0.0802,7.71,N
2026-07-06,전체,전체,602,651,0.1367,69.06,N
2026-07-07,전체,전체,611,638,0.0831,30.10,N
2026-07-08,전체,전체,604,641,0.1186,66.65,N
2026-07-09,전체,전체,585,591,0.0525,10.84,N
2026-07-10,전체,전체,506,521,0.0749,42.72,N
2026-07-11,전체,전체,12,13,0.4615,37.13,N
2026-07-12,전체,전체,12,12,0.6667,133.33,N
2026-07-13,전체,전체,41,51,0.4510,249.71,N
2026-07-14,전체,전체,219,234,0.1752,89.20,N
2026-07-15,전체,전체,526,544,0.0772,20.94,N
2026-07-16,전체,전체,486,496,0.0665,39.43,N
2026-07-17,전체,전체,460,466,0.0622,23.34,N
2026-07-18,전체,전체,420,423,0.0638,1.44,N
2026-07-19,전체,전체,493,495,0.0545,2.41,N
2026-07-20,전체,전체,467,484,0.1198,22.08,N
2026-07-21,전체,전체,126,133,0.3609,74.16,Y
2026-07-22,전체,전체,128,140,0.3786,101.73,Y
2026-07-23,전체,전체,171,193,0.3368,182.43,Y
2026-07-24,전체,전체,163,172,0.2500,59.39,Y
2026-07-25,전체,전체,145,152,0.2237,26.51,Y
2026-07-26,전체,전체,111,117,0.3333,97.59,Y
2026-07-27,전체,전체,103,129,0.4419,191.02,Y
2026-07-28,전체,전체,126,140,0.3500,174.68,Y
2026-07-29,전체,전체,103,135,0.4963,293.57,Y
2026-07-30,전체,전체,85,96,0.3854,149.23,Y
2026-07-31,전체,전체,32,42,0.1667,500.41,Y
2026-06-19,fb / paid,유료,,364,0.0797,4.94,N
2026-06-20,fb / paid,유료,,513,0.0429,1.42,N
2026-06-21,fb / paid,유료,,611,0.0295,45.59,N
2026-06-22,fb / paid,유료,,579,0.0432,0.79,N
2026-06-23,fb / paid,유료,,521,0.0537,17.45,N
2026-06-24,fb / paid,유료,,530,0.0415,1.99,N
2026-06-25,fb / paid,유료,,563,0.0302,0.96,N
2026-06-26,fb / paid,유료,,649,0.0493,4.32,N
2026-06-27,fb / paid,유료,,880,0.0739,3.94,N
2026-06-28,fb / paid,유료,,858,0.0594,4.51,N
2026-06-29,fb / paid,유료,,692,0.0535,1.44,N
2026-06-30,fb / paid,유료,,931,0.0462,2.37,N
2026-07-01,fb / paid,유료,,908,0.0617,4.66,N
2026-07-02,fb / paid,유료,,759,0.0382,0.73,N
2026-07-03,fb / paid,유료,,305,0.0623,3.95,N
2026-07-04,fb / paid,유료,,484,0.0413,0.53,N
2026-07-05,fb / paid,유료,,713,0.0463,0.60,N
2026-07-06,fb / paid,유료,,551,0.0399,3.08,N
2026-07-07,fb / paid,유료,,570,0.0228,1.51,N
2026-07-08,fb / paid,유료,,559,0.0233,3.48,N
2026-07-09,fb / paid,유료,,559,0.0250,0.47,N
2026-07-10,fb / paid,유료,,483,0.0248,0.38,N
2026-07-11,fb / paid,유료,,2,0.0000,0.00,N
2026-07-13,fb / paid,유료,,23,0.0435,0.78,N
2026-06-18,ig / paid,유료,,5,0.0000,0.00,N
2026-06-19,ig / paid,유료,,51,0.1373,2.05,N
2026-06-25,ig / paid,유료,,9,0.2222,4.43,N
2026-06-26,ig / paid,유료,,19,0.1053,6.13,N
2026-06-27,ig / paid,유료,,3,0.0000,0.00,N
2026-06-28,ig / paid,유료,,1,0.0000,0.00,N
2026-06-29,ig / paid,유료,,3,0.0000,0.00,N
2026-06-30,ig / paid,유료,,6,0.1667,2.51,N
2026-07-01,ig / paid,유료,,4,0.2500,4.37,N
2026-07-02,ig / paid,유료,,2,0.5000,5.21,N
2026-07-03,ig / paid,유료,,5,0.4000,57.79,N
2026-07-04,ig / paid,유료,,7,0.1429,4.88,N
2026-07-05,ig / paid,유료,,6,0.3333,8.68,N
2026-07-06,ig / paid,유료,,8,0.5000,23.86,N
2026-07-07,ig / paid,유료,,12,0.5833,44.49,N
2026-07-08,ig / paid,유료,,7,0.4286,19.01,N
2026-07-09,ig / paid,유료,,5,0.2000,37.96,N
2026-07-14,ig / paid,유료,,184,0.0543,2.47,N
2026-07-15,ig / paid,유료,,505,0.0317,1.74,N
2026-07-16,ig / paid,유료,,471,0.0340,0.95,N
2026-07-17,ig / paid,유료,,442,0.0271,0.62,N
2026-07-18,ig / paid,유료,,407,0.0467,0.79,N
2026-07-19,ig / paid,유료,,487,0.0431,0.86,N
2026-07-20,ig / paid,유료,,392,0.0765,5.15,N
2026-07-21,ig / paid,유료,,77,0.2987,14.37,Y
2026-07-22,ig / paid,유료,,99,0.2626,19.64,Y
2026-07-23,ig / paid,유료,,143,0.2448,49.59,Y
2026-07-24,ig / paid,유료,,139,0.1583,9.63,Y
2026-07-25,ig / paid,유료,,134,0.1940,22.18,Y
2026-07-26,ig / paid,유료,,91,0.2637,36.25,Y
2026-07-27,ig / paid,유료,,79,0.2532,40.30,Y
2026-07-28,ig / paid,유료,,101,0.2079,76.29,Y
2026-07-29,ig / paid,유료,,80,0.3500,153.12,Y
2026-07-30,ig / paid,유료,,63,0.2381,14.02,Y
2026-07-31,ig / paid,유료,,14,0.0000,96.49,Y
