기간구분,기간시작,기간종료,축,축값,채널그룹,단계,단계순서,인원,방문수,전환율
7월전체,2026-07-01,2026-07-31,전체,전체,전체,방문,0,10091,10091,1.0000
7월전체,2026-07-01,2026-07-31,전체,전체,전체,AI감정시작,1,129,10091,0.0128
7월전체,2026-07-01,2026-07-31,전체,전체,전체,AI시세조회,2,108,10091,0.0107
7월전체,2026-07-01,2026-07-31,전체,전체,전체,등록시작,3,126,10091,0.0125
7월전체,2026-07-01,2026-07-31,전체,전체,전체,사진업로드,4,41,10091,0.0041
7월전체,2026-07-01,2026-07-31,전체,전체,전체,견적등록,5,65,10091,0.0064
7월전체,2026-07-01,2026-07-31,전체,전체,전체,견적조회,6,57,10091,0.0056
7월전체,2026-07-01,2026-07-31,전체,전체,전체,낙찰,7,11,10091,0.0011
7월전체,2026-07-01,2026-07-31,전체,전체,전체,자산등록,8,5,10091,0.0005
7월전체,2026-07-01,2026-07-31,전체,전체,전체,자산시세확인,9,3,10091,0.0003
7월전체,2026-07-01,2026-07-31,전체,전체,전체,담보CTA클릭,10,0,10091,0.0000
전반기,2026-07-01,2026-07-15,전체,전체,전체,방문,0,6795,6795,1.0000
전반기,2026-07-01,2026-07-15,전체,전체,전체,AI감정시작,1,47,6795,0.0069
전반기,2026-07-01,2026-07-15,전체,전체,전체,AI시세조회,2,42,6795,0.0062
전반기,2026-07-01,2026-07-15,전체,전체,전체,등록시작,3,76,6795,0.0112
전반기,2026-07-01,2026-07-15,전체,전체,전체,사진업로드,4,23,6795,0.0034
전반기,2026-07-01,2026-07-15,전체,전체,전체,견적등록,5,30,6795,0.0044
전반기,2026-07-01,2026-07-15,전체,전체,전체,견적조회,6,24,6795,0.0035
전반기,2026-07-01,2026-07-15,전체,전체,전체,낙찰,7,6,6795,0.0009
후반기,2026-07-16,2026-07-31,전체,전체,전체,방문,0,3450,3450,1.0000
후반기,2026-07-16,2026-07-31,전체,전체,전체,AI감정시작,1,84,3450,0.0243
후반기,2026-07-16,2026-07-31,전체,전체,전체,AI시세조회,2,67,3450,0.0194
후반기,2026-07-16,2026-07-31,전체,전체,전체,등록시작,3,53,3450,0.0154
후반기,2026-07-16,2026-07-31,전체,전체,전체,사진업로드,4,19,3450,0.0055
