canonical_asset_id,category,brand,model,reference_no,base_retail_krw,popularity,aliases
WATCH-ROLEX-SUBMARINER-126610LN,WATCH,Rolex,Submariner Date,126610LN,15000000,10,서브마리너;섭마
WATCH-ROLEX-DATEJUST-126234,WATCH,Rolex,Datejust 36,126234,13000000,9,데이저스트
WATCH-ROLEX-GMT-126710BLNR,WATCH,Rolex,GMT-Master II,126710BLNR,18500000,8,배트맨;GMT
WATCH-ROLEX-DAYTONA-116500LN,WATCH,Rolex,Cosmograph Daytona,116500LN,38000000,6,데이토나
WATCH-OMEGA-SPEEDMASTER-31030425001001,WATCH,Omega,Speedmaster Moonwatch,310.30.42.50.01.001,8500000,7,스피드마스터;문워치
WATCH-OMEGA-SEAMASTER-21030422003001,WATCH,Omega,Seamaster Diver 300M,210.30.42.20.03.001,6000000,6,씨마스터
WATCH-PATEK-NAUTILUS-5711,WATCH,Patek Philippe,Nautilus,5711/1A,90000000,2,노틸러스
WATCH-AP-ROYALOAK-15500ST,WATCH,Audemars Piguet,Royal Oak,15500ST,55000000,2,로얄오크
WATCH-CARTIER-SANTOS-WSSA0018,WATCH,Cartier,Santos de Cartier LM,WSSA0018,9000000,5,산토스
WATCH-IWC-PORTUGIESER-IW371446,WATCH,IWC,Portugieser Chronograph,IW371446,7500000,4,포르투기저
BAG-CHANEL-CLASSIC-MEDIUM,BAG,Chanel,Classic Flap Medium,A01112,14000000,10,클미;클래식 미디움
BAG-CHANEL-BOY-MEDIUM,BAG,Chanel,Boy Bag Medium,A67086,9500000,7,보이백
BAG-HERMES-BIRKIN30-TOGO,BAG,Hermes,Birkin 30 Togo,B30,25000000,5,버킨30
BAG-HERMES-KELLY28-EPSOM,BAG,Hermes,Kelly 28 Epsom,K28,23000000,4,켈리28
BAG-LV-NEVERFULL-MM,BAG,Louis Vuitton,Neverfull MM,M40156,2200000,9,네버풀
BAG-LV-CAPUCINES-MM,BAG,Louis Vuitton,Capucines MM,M42259,8000000,4,카퓌신
BAG-DIOR-LADYDIOR-MEDIUM,BAG,Dior,Lady Dior Medium,M0565,8500000,5,레이디디올
BAG-GUCCI-MARMONT-SMALL,BAG,Gucci,GG Marmont Small,443497,2000000,6,마몬트
JWL-CARTIER-LOVE-BRACELET,JWL,Cartier,Love Bracelet YG,B6035517,9800000,7,러브팔찌
JWL-VCA-ALHAMBRA-10M,JWL,Van Cleef & Arpels,Vintage Alhambra 10 Motifs,VCARA42800,6500000,4,알함브라
JWL-TIFFANY-T1-RING,JWL,Tiffany & Co.,T T1 Ring,68937154,3500000,5,티파니T
JWL-BULGARI-BZERO1-RING,JWL,Bulgari,B.zero1 Ring,AN852260,3200000,4,비제로원
